product_name;product_type;sales_volume;price;sale_time;date;platform;brand;reviews;rating
Grass-roots fault-tolerant migration;Kem ch?ng n?ng v?t lý;4579;350,89;Tháng 4;23/08/2024;Lazada;Neutrogena;866;2,9
Proactive web-enabled capacity;Kem ch?ng n?ng v?t lý;241;286,54;Tháng 3;09/01/2022;Lazada;Garnier;998;5
Multi-channeled even-keeled software;Th?c ph?m s?ch;2383;115,83;Tháng 8;19/07/2022;Lazada;Estée Lauder;934;2,5
Ameliorated intangible intranet;M? ph?m t? nhiên;228;162,87;Tháng 8;11/01/2022;Shopee;Uniqlo;888;1,5
Robust coherent superstructure;Kem ch?ng n?ng v?t lý;2166;482,05;Tháng 3;19/07/2022;Lazada;Olay;272;2,3
Switchable zero-defect Graphical User Interface;N??c hoa n?;4555;188,57;Tháng 6;12/03/2023;Lazada;Avène;635;3
Centralized radical strategy;S?n ph?m ch?m sóc thú c?ng;285;459,99;Tháng 2;23/09/2022;Shopee;L'Occitane;221;1,9
Diverse transitional info-mediaries;?i?n tho?i thông minh;1327;365,37;Tháng 7;18/02/2022;Shopee;Wella;109;2,5
Pre-emptive well-modulated flexibility;N??c t?y trang;1795;456,59;Tháng 7;27/02/2024;Lazada;Burt's Bees;247;3,4
Decentralized asynchronous Graphical User Interface;B?t ?n d?m;1311;177,76;Tháng 5;05/10/2023;Lazada;Laneige;509;1,1
Enhanced dynamic forecast;?? g?;2691;449,28;Tháng 7;16/03/2024;Shopee;Neutrogena;916;4,8
Configurable human-resource system engine;S?n ph?m làm s?ch;50;416,57;Tháng 12;08/08/2023;Shopee;Garnier SkinActive;505;2,6
Streamlined uniform open architecture;M? ph?m Nh?t B?n;4035;326,52;Tháng 7;12/03/2023;Lazada;Nivea Men;126;3,4
Operative multi-state process improvement;?? dùng tr? em;2514;428,15;Tháng 10;20/09/2022;Lazada;Dove;11;3,3
Pre-emptive human-resource approach;M?t n? thiên nhiên;2031;418,81;Tháng 9;11/05/2024;Lazada;O.P.I.;675;3,9
Inverse executive open system;S?n ph?m d??ng móng;2883;275,49;Tháng 9;08/04/2023;Shopee;Garnier;710;2,6
Organized impactful projection;S?n ph?m b?o v? môi tr??ng;378;154,24;Tháng 5;11/02/2023;Shopee;Dove;678;4,3
Exclusive fresh-thinking portal;N??c t?y trang;3043;491,71;Tháng 1;08/08/2022;Lazada;Axe;978;2,5
Organic interactive methodology;Thi?t b? th? thao;841;483,18;Tháng 5;18/01/2023;Shopee;Uniqlo;513;4,5
Progressive transitional project;S?n ph?m b?o v? môi tr??ng;1590;20,41;Tháng 12;17/10/2024;Shopee;Huggies;302;3,3
User-centric zero administration framework;M?t n? thiên nhiên;2337;462,92;Tháng 7;20/10/2023;Shopee;SK-II;747;2
Exclusive static strategy;?? dùng h?c t?p;3375;126,1;Tháng 9;19/02/2023;Shopee;Dior;236;3,7
Public-key leadingedge circuit;M? ph?m h?u c?;4425;371,42;Tháng 8;22/09/2024;Lazada;Burt's Bees;122;4,5
Realigned zero-defect contingency;Giày dép;4496;353,45;Tháng 9;12/04/2024;Lazada;Fenty Beauty;289;4,5
Vision-oriented background open architecture;Bánh ng?t;4391;91,49;Tháng 8;05/10/2024;Lazada;Physiogel;830;2,6
Versatile dynamic instruction set;D?u t?y trang;3422;326,5;Tháng 6;28/07/2024;Lazada;Himalaya;794;3,2
Fundamental even-keeled neural-net;S?n ph?m công ngh?;2744;221,06;Tháng 4;26/08/2022;Shopee;Bioré;124;1,7
Universal multi-state collaboration;?? ch?i giáo d?c;1833;98,91;Tháng 2;15/02/2023;Lazada;Olay Regenerist;663;1,5
Operative modular core;S?n ph?m d??ng ?m;467;479,55;Tháng 6;24/04/2024;Shopee;Cosrx;247;4,2
Synergistic optimal matrix;D?u x?;2619;102,65;Tháng 6;19/07/2023;Lazada;The Body Shop Tea Tree;397;1,8
Centralized client-driven process improvement;M?t n? ng?;4796;33,06;Tháng 11;09/04/2022;Lazada;Aveeno;226;3,9
Team-oriented client-server core;Serum vitamin C;1004;298,11;Tháng 4;22/11/2023;Lazada;TIGI;51;1,8
Cross-group homogeneous intranet;Bánh k?o;3546;350,64;Tháng 10;28/05/2022;Shopee;Freeman;15;4,7
Synergized systematic firmware;Ph? ki?n ?i?n tho?i;1277;36,62;Tháng 8;22/05/2024;Lazada;Samsung;35;1,2
Ameliorated logistical open architecture;V?n phòng ph?m;3165;472,9;Tháng 6;22/04/2022;Shopee;Vichy;225;4,2
Self-enabling 4thgeneration service-desk;?? handmade;1917;359,92;Tháng 6;03/02/2022;Lazada;Clinique;685;2
Exclusive intermediate structure;S?n ph?m t?p th? d?c;2141;468,2;Tháng 9;15/05/2023;Shopee;SK-II;379;1,2
Cloned encompassing intranet;Serum retinol;404;202,31;Tháng 12;16/05/2022;Shopee;Glade;402;3,3
